Megnevezés,Méret,Csatlakozás,Technológia,Tároló kapacitás,SSD max írás,SSD max olvasás,TBW,Világítás,Hűtőborda,Ár (FT),Méretek,PCI-e 4.0 SSD
INTEGRALMEMORY 512GB 22x80 M.2 SATA M.2 2280 INSSD512GM280,M.2 2280,M.2 SATA,TLC,512 GB,450 MB/s,520 MB/s,0 TB,Nem,Nem,24790,80 x 22 x 2.25 mm,
"INTEGRALMEMORY 960GB P5 SATA 3 2.5"" INSSD960GS625P5","2.5""",SATA 3,TLC,960 GB,540 MB/s,560 MB/s,262 TB,Nem,Nem,39390,,
INTENSO 120GB High Performance M.2 PCIe M.2 2280 3834430,M.2 2280,M.2 PCIe,TLC,120 GB,800 MB/s,1700 MB/s,0 TB,Nem,Nem,11990,,
INTENSO 120GB High Performance M.2 SATA M.2 2280 3833430,M.2 2280,M.2 SATA,TLC,120 GB,500 MB/s,520 MB/s,0 TB,Nem,Nem,8890,,
INTENSO 1TB Top M.2 SATA M.2 2280 3832460,M.2 2280,M.2 SATA,TLC,1000 GB,420 MB/s,520 MB/s,0 TB,Nem,Nem,35890,,
"INTENSO 1TB Top SATA 3 2.5"" 3812460","2.5""",SATA 3,TLC,1000 GB,420 MB/s,520 MB/s,0 TB,Nem,Nem,35890,,
INTENSO 240GB High Performance M.2 PCIe M.2 2280 3834440,M.2 2280,M.2 PCIe,TLC,240 GB,800 MB/s,1700 MB/s,0 TB,Nem,Nem,11890,,
INTENSO 240GB High Performance M.2 SATA M.2 2280 3833440,M.2 2280,M.2 SATA,TLC,240 GB,500 MB/s,520 MB/s,0 TB,Nem,Nem,12590,,
INTENSO 480GB High Performance M.2 PCIe M.2 2280 3834450,M.2 2280,M.2 PCIe,TLC,480 GB,800 MB/s,1700 MB/s,0 TB,Nem,Nem,22690,,
INTENSO 480GB High Performance M.2 SATA M.2 2280 3833450,M.2 2280,M.2 SATA,TLC,480 GB,500 MB/s,520 MB/s,0 TB,Nem,Nem,20790,,
"KINGMAX 960GB SMQ SATA 3 2.5"" KM960GSMQ32","2.5""",SATA 3,QLC,960 GB,480 MB/s,540 MB/s,0 TB,Nem,Nem,36391,100.5 x 69.9 x 7 mm,
"KINGMAX 960GB SMV32 SATA 3 2.5"" KM960GSMV32","2.5""",SATA 3,TLC,960 GB,480 MB/s,500 MB/s,0 TB,Nem,Nem,36391,100 x 69.85 x 7 mm,
"KINGSTON 1.92TB UV500 SATA 3 2.5"" SUV500/1920G","2.5""",SATA 3,TLC,1920 GB,500 MB/s,520 MB/s,800 TB,Nem,Nem,100090,100.1 x 69.85 x 7 mm,
"KINGSTON 1.92TB UV500 SATA 3 2.5"" SUV500B/1920G","2.5""",SATA 3,TLC,1920 GB,500 MB/s,520 MB/s,800 TB,Nem,Nem,110291,100.1 x 69.85 x 7 mm,
"KINGSTON 2TB KC600 SATA 3 2.5"" SKC600B/2048G","2.5""",SATA 3,TLC,2000 GB,520 MB/s,550 MB/s,1200 TB,Nem,Nem,103990,100.1 x 69.85 x 7 mm,
KINGSTON 512GB KC600 mSATA SKC600MS/512G,mSATA,mSATA,TLC,512 GB,520 MB/s,550 MB/s,300 TB,Nem,Nem,25991,50.8 x2 9.85 x 4.85 mm,Nem
"KINGSTON 960GB UV500 SATA 3 2.5"" SUV500/960G","2.5""",SATA 3,TLC,960 GB,500 MB/s,520 MB/s,480 TB,Nem,Nem,45690,100.1 x 69.85 x 7 mm,
KIOXIA 1TB Exceria Plus M.2 PCIe M.2 2280 LRD10Z001TG8,M.2 2280,M.2 PCIe,TLC,1000 GB,3200 MB/s,3400 MB/s,400 TB,Nem,Nem,64390,80.15 x 22.15 x 2.38 mm,
KIOXIA 2TB Exceria Plus M.2 PCIe M.2 2280 LRD10Z002TG8,M.2 2280,M.2 PCIe,TLC,2000 GB,3200 MB/s,3400 MB/s,800 TB,Nem,Nem,133490,80.15 x 22.15 x 2.38 mm,
KIOXIA 500GB Exceria Plus M.2 PCIe M.2 2280 LRD10Z500GG8,M.2 2280,M.2 PCIe,TLC,500 GB,2500 MB/s,3400 MB/s,200 TB,Nem,Nem,32290,80.15 x 22.15 x 2.38 mm,
LCPOWER 1TB Phenom M.2 PCIe M.2 2280 LC-M2-NVME-1TB,M.2 2280,M.2 PCIe,TLC,1000 GB,1500 MB/s,1800 MB/s,0 TB,Nem,Nem,45390,80 x 22 x 3.8 mm,
LCPOWER 1TB Phenom Pro M.2 PCIe M.2 2280 LC-M2-NVME-PRO-1TB,M.2 2280,M.2 PCIe,TLC,1000 GB,2500 MB/s,3200 MB/s,0 TB,Nem,Nem,53490,80 x 22 x 3.8 mm,
"LCPOWER 240GB Phoenix SATA 3 2.5"" LC-SSD-240GB","2.5""",SATA 3,TLC,240 GB,450 MB/s,510 MB/s,0 TB,Nem,Nem,14390,"100 x 69,9 x 7 mm",
LCPOWER 256GB Phenom M.2 PCIe M.2 2280 LC-M2-NVME-256GB,M.2 2280,M.2 PCIe,TLC,256 GB,1000 MB/s,1600 MB/s,0 TB,Nem,Nem,16789,80 x 22 x 3.8 mm,
"LCPOWER 480GB Phoenix SATA 3 2.5"" LC-SSD-480GB","2.5""",SATA 3,TLC,480 GB,470 MB/s,550 MB/s,0 TB,Nem,Nem,22990,"100 x 69,9 x 7 mm",
LCPOWER 512GB Phenom M.2 PCIe M.2 2280 LC-M2-NVME-512GB,M.2 2280,M.2 PCIe,TLC,512 GB,1400 MB/s,1700 MB/s,0 TB,Nem,Nem,24889,80 x 22 x 3.8 mm,
"LCPOWER 960GB Phoenix SATA 3 2.5"" LC-SSD-960GB","2.5""",SATA 3,TLC,960 GB,500 MB/s,550 MB/s,0 TB,Nem,Nem,39091,"100 x 69,9 x 7 mm",
LENOVO 2TB ThinkPad PCIe NVMe OPAL2 M.2 PCIe M.2 2280 4XB0W86200 (Basic garancia),M.2 2280,M.2 PCIe,TLC,2000 GB,3000 MB/s,3500 MB/s,0 TB,Nem,Nem,218791,177 x 144 x 53 mm,
"LEXAR 128GB NS100 SATA 3 2.5"" LNS100-128RB","2.5""",SATA 3,TLC,128 GB,520 MB/s,520 MB/s,64 TB,Nem,Nem,10790,69.85 x 100.2 x 7 mm,
LEXAR 1TB NM610 M.2 PCIe M.2 2280 LNM610-1TRB,M.2 2280,M.2 PCIe,TLC,1000 GB,1600 MB/s,2100 MB/s,2500 TB,Nem,Nem,43691,80 x 22 x 2.25 mm,
LEXAR 1TB NM700 M.2 PCIe M.2 2280 LNM700-1TRB,M.2 2280,M.2 PCIe,TLC,1000 GB,2000 MB/s,3500 MB/s,600 TB,Nem,Nem,51490,80 x 22 x 2.25 mm,
"LEXAR 240GB NQ100 SATA 3 2.5"" LNQ100X240G-RNNNG","2.5""",SATA 3,TLC,240 GB,0 MB/s,550 MB/s,84 TB,Nem,Nem,13490,69.85 x 100.2 x 7 mm,
LEXAR 250GB NM610 M.2 PCIe M.2 2280 LNM610-250RB,M.2 2280,M.2 PCIe,TLC,250 GB,1200 MB/s,2000 MB/s,125 TB,Nem,Nem,15690,80 x 22 x 2.25 mm,
