Megnevezés,Méret,Csatlakozás,Technológia,Tároló kapacitás (GB),SSD max írás (MB/s),SSD max olvasás (MB/s),Világítás,Hűtőborda,Ár (FT)
"SAMSUNG 500GB 870 EVO SATA 3 2.5"" MZ-77E500B/EU (Basic garancia)","2.5""",SATA 3,TLC,500,530,560,Nem,Nem,22589
WD 1TB Blue M.2 SATA M.2 2280 WDS100T2B0B,M.2 2280,M.2 SATA,TLC,1000,530,560,Nem,Nem,35690
"SAMSUNG 2TB 860 EVO SATA 3 2.5"" MZ-76E2T0B/EU","2.5""",SATA 3,MLC,2000,520,550,Nem,Nem,106790
"WD 1TB Green SATA 3 2.5"" WDS100T2G0A","2.5""",SATA 3,TLC,1000,465,540,Nem,Nem,33090
SAMSUNG 500GB 860 EVO M.2 SATA M.2 2280 MZ-N6E500BW,M.2 2280,M.2 SATA,MLC,500,520,550,Nem,Nem,23291
"WD 480GB Green SATA 3 2.5"" WDS480G2G0A","2.5""",SATA 3,TLC,480,465,540,Nem,Nem,19690
WD 500GB Black SN750 M.2 PCIe M.2 2280 WDS500G3X0C,M.2 2280,M.2 PCIe,TLC,500,2600,3470,Nem,Nem,26690
"WD 120GB Green SATA 3 2.5"" WDS120G2G0A","2.5""",SATA 3,TLC,120,430,540,Nem,Nem,10490
INTEL 1TB 665P M.2 PCIe M.2 2280 SSDPEKNW010T9X1,M.2 2280,M.2 PCIe,QLC,1000,1925,2000,Nem,Nem,49190
"PATRIOT 240GB Burst SATA 3 2.5"" PBU240GS25SSDR","2.5""",SATA 3,TLC,240,455,560,Nem,Nem,14489
"CRUCIAL 1TB BX500 SATA 3 2.5"" CT1000BX500SSD1","2.5""",SATA 3,TLC,1000,500,540,Nem,Nem,32090
GIGABYTE 512GB NVMe SSD M.2 PCIe M.2 2280 GP-GSM2NE3512GNTD,M.2 2280,M.2 PCIe,TLC,512,1550,1700,Nem,Nem,23190
"ADATA 512GB Ultimate SU750 SATA 3 2.5"" ASU750SS-512GT-C","2.5""",SATA 3,TLC,512,520,550,Nem,Nem,22189
INTEL 1TB 660P M.2 PCIe M.2 2280 SSDPEKNW010T801,M.2 2280,M.2 PCIe,QLC,1000,1800,1800,Nem,Nem,38190
"PNY 240GB CS900 SATA 3 2.5"" SSD7CS900-240-PB","2.5""",SATA 3,TLC,240,460,560,Nem,Nem,12590
WD 250GB Blue SN550 NVMe M.2 PCIe M.2 2280 WDS250G2B0C,M.2 2280,M.2 PCIe,TLC,250,950,2400,Nem,Nem,14390
SAMSUNG 500GB 860 EVO M.2 SATA M.2 2280 MZ-N6E500BW (Basic garancia),M.2 2280,M.2 SATA,MLC,500,520,550,Nem,Nem,24091
"APACER 128GB AS350 Panther SATA 3 2.5"" 95.DB260.P100C","2.5""",SATA 3,TLC,128,490,540,Nem,Nem,8990
GIGABYTE 1TB NVMe SSD M.2 PCIe M.2 2280 GP-GSM2NE3100TNTD,M.2 2280,M.2 PCIe,TLC,1000,2100,2500,Nem,Nem,41890
