,name,Cikkszám,Gyártó,Garancia,Kapacitás,Csatolófelület,Olvasási sebesség,Írási sebesség,price
79,Samsung 860 EVO 250GB SATA M.2 (2280) belső Solid State Drive (SSD) (MZ-N6E250) - [Bontott],863275,SAMSUNG,3 éves,250 GB,M.2 PCIe,550 MB/sec,520 MB/sec,12 890 
80,Samsung 860 EVO 2TB SATA M.2 (2280) belső Solid State Drive (SSD) (MZ-N6E2T0),587470,SAMSUNG,3 éves,2 TB,"SATA III, SATA 6, SATA 1,5",550 MB/sec,520 MB/sec,80 990 
81,Kingmax 2280 PCIe NVMe 512GB PX3480 M.2 SSD (KMPX3480-512G),636638,KINGMAX,5 éves,512 GB,M.2 PCIe,3400 MB/sec,1950 MB/sec,33 990 
82,"Kingston A400 2,5"" 1920GB SATA3 SSD (SA400S37/1920G)",691437,KINGSTON,3 éves,1 920 GB,SATA III,500 MB/sec,450 MB/sec,76 990 
83,"Crucial BX500 120GB SATA 2.5"" SSD meghajtó",846210,Crucial,3 éves,120 GB,SATA III,540 MB/sec,500 MB/sec,11 900 
84,Goodram S400U M.2 SATA 2280 120GB belső SSD meghajtó,846512,GOODRAM,3 éves,120 GB,M.2 SATA,550 MB/sec,530 MB/sec,8 690 
85,Kioxia LRC10 M.2 SATA 2280 NVMe 1TB belső SSD meghajtó,846547,KIOXIA,5 éves,1 TB,M.2 PCIe,1700 MB/sec,1600 MB/sec,37 990 
86,"Apacer AS350 Panther 2,5`` 512GB Sata3 SSD",651794,APACER,3 éves,512 GB,SATA III,560 MB/sec,540 MB/sec,21 990 
87,"Samsung 860 PRO 2TB SATA 2.5"" belső Solid State Drive (SSD) (MZ-76P2T0)",539601,SAMSUNG,3 éves,2 048 GB,SATA III,560 MB/sec,530 MB/sec,131 990 
88,"Samsung Külső SSD MU-PC1T0T/WW T7 external, USB 3.2, 1TB, szürke",783971,SAMSUNG,3 éves,1 TB,USB 3.2,1050 MB/sec,1000 MB/sec,83 990 
89,Apacer AS2280 Series AP512GAS2280P4-1 512GB M.2 PCI-E SSD meghajtó,831471,APACER,3 éves,512 GB,M.2 PCIe,2100 MB/sec,1500 MB/sec,22 990 
90,Gigabyte M.2 2280 NVMe Gen3x2 512GB belső SSD meghajtó,846480,GIGABYTE,3 éves,512 GB,M.2 PCIe,1700 MB/sec,1550 MB/sec,24 990 
91,Goodram S400U M.2 SATA 2242 240GB belső SSD meghajtó,846511,GOODRAM,3 éves,240 GB,M.2 SATA,450 MB/sec,420 MB/s,13 090 
92,"Kingston SSD mSATA 480GB UV500, 256 AES (SUV500MS/480G)",559392,KINGSTON,5 éves,480 GB,SATA III,520 MB/sec,500 MB/sec,28 990 
93,Samsung 970 PRO 1TB PCIe NVMe M.2 (2280) belső Solid State Drive (SSD) (MZ-V7P1T0),578079,SAMSUNG,3 éves,1 024 GB,M.2 PCIe,3500 MB/sec,2700 MB/sec,124 990 
94,Verbatim Vi550 128 GB SSD ,620235,VERBATIM,3 éves,128 GB,SATA III,560 MB/sec,430 MB/sec,11 290 
95,"ADATA SU630 2.5"" SATA3 480GB belső SSD (ASU630SS-480GQ-R)",633958,Adata,3 éves,480 GB,SATA III,520 MB/sec,450 MB/sec,20 990 
96,"Sandisk Extreme külső SSD, 250GB",663100,SANDISK,3 éves,250 GB,USB 3.1,550 MB/sec,,32 990 
97,ADATA SSD M.2 2280 NVMe Gen3x4 1TB SX8100,775047,Adata,5 éves,1 TB,M.2 PCIe,3500 MB/sec,3000 MB/sec,48 990 
98,"Goodram CX400 Gen.2 2.5"" SATA3 256GB belső SSD meghajtó",846492,GOODRAM,3 éves,256 GB,SATA III,550 MB/sec,480 MB/sec,13 590 
99,Kioxia LRD10 M.2 SATA 2280 NVMe 2TB belső SSD meghajtó,846550,KIOXIA,5 éves,2 TB,M.2 PCIe,3400 MB/sec,3200 MB/sec,98 990 
100,Silicon Power 128GB A55 SSD 7mm,595429,SILICON POWER,3 éves,128 GB,SATA III,550 MB/sec,,8 390 
101,Samsung X5 500GB Thunderbolt3™ külső Solid State Drive (Hordozható SSD) (MU-PB500B),604444,SAMSUNG,3 éves,500 GB,Thunderbolt™ 3,2800 MB/sec,2300 MB/sec,72 990 
102,Crucial MX500 M.2 250GB SSD (CT250MX500SSD4),649731,CRUCIAL-MICRON,3 éves,250 GB,M.2 PCIe,560 MB/sec,510 MB/sec,21 990 
103,Kingston M.2 SATA 480GB A400 SSD ,739857,KINGSTON,5 éves,480 GB,M.2 SATA,500 MB/sec,450 MB/sec,30 100 
104,Adata SSD M.2 2280 NVMe Gen3x4 256GB SX8200,739905,Adata,5 éves,256 GB,M.2 PCIe,3500 MB/sec,3000 MB/sec,19 490 
105,Kingston M.2 2280 NVMe KC2500 250GB SSD (SKC2500M8/250G),761353,KINGSTON,5 éves,250 GB,M.2 PCIe,3500 MB/sec,1200 MB/sec,17 890 
106,Apacer AS2280 Series AP1TBAS2280P4-1 1TB SSD 1TB M.2 PCI-E SSD meghajtó,831467,APACER,3 éves,1 TB,M.2 PCIe,3000 MB/sec,2000 MB/sec,44 990 
107,Western Digital M2 2280 PCIe 1TB SSD meghajtó,845428,WD,2 éves,1 TB,M.2 PCIe,3400 MB/sec,2800 MB/s,139 900 
108,Adata Swordfish M.2 2280 NVMe Gen3x4 1TB belső SSD meghajtó,846472,Adata,5 éves,1 TB,M.2 PCIe,1800 MB/sec,1200 MB/sec,44 990 
109,"Goodram CX400 Gen.2 2.5"" SATA3 128GB belső SSD meghajtó",846487,GOODRAM,3 éves,128 GB,SATA III,550 MB/sec,460 MB/sec,9 190 
110,Kioxia LRD10 M.2 SATA 2280 NVMe 1TB belső SSD meghajtó,846548,KIOXIA,5 éves,1 TB,M.2 PCIe,3400 MB/sec,3200 MB/sec,48 990 
111,"Adata SSD SU800 1 TB SATA III 2,5""",514421,Adata,3 éves,1 024 GB,SATA III,560 MB/sec,520 MB/sec,48 990 
112,"Samsung 860 PRO 1TB SATA 2.5"" belső Solid State Drive (SSD) (MZ-76P1T0)",539574,SAMSUNG,3 éves,1 024 GB,SATA III,560 MB/sec,530 MB/sec,93 990 
113,Kingmax SMV32 960GB SATA SSD (KM960GSMV32),636634,KINGMAX,5 éves,960 GB,SATA III,500 MB/sec,480 MB/sec,35 990 
114,Gigabyte M.2 2280 NVMe Gen3x4 256GB belső SSD meghajtó,846481,GIGABYTE,3 éves,256 GB,M.2 PCIe,1700 MB/sec,1100 MB/sec,15 790 
115,"Goodram CX400 Gen.2 2.5"" SATA3 1TB belső SSD meghajtó",846488,GOODRAM,3 éves,1 024 GB,SATA III,550 MB/sec,500 MB/sec,39 990 
116,"Goodram CL100 Gen.3 2.5"" SATA3 240GB belső SSD meghajtó",846490,GOODRAM,3 éves,240 GB,SATA III,520 MB/sec,400 MB/sec,13 090 
117,"Goodram CX400 Gen.2 2.5"" SATA3 512GB belső SSD meghajtó",846496,GOODRAM,3 éves,512 GB,SATA III,550 MB/sec,500 MB/sec,22 990 
118,Goodram M.2 2280 NVMe Gen 3x4 1TB belső SSD meghajtó,846503,GOODRAM,5 éves,,NVMe,3200 MB/sec,3000 MB/sec,46 990 
119,Goodram M.2 2280 NVMe Gen 3x4 512GB belső SSD meghajtó,846506,GOODRAM,5 éves,512 GB,NVMe,3200 MB/sec,2000 MB/sec,22 990 
120,Kingmax SMQ32 960GB SATA SSD (KM960GSMQ32),856710,KINGMAX,3 éves,960 GB,SATA III,540 MB/sec,480 MB/sec,36 990 
121,"SanDisk Plus 120GB 2.5"" SATA III SSD meghajtó",845398,SANDISK,1 éves,120 GB,SATA III,530 MB/sec,400 MB/sec,19 990 
122,Goodram PX500 M.2 2280 NVMe Gen3x4 256GB belső SSD meghajtó,846508,GOODRAM,3 éves,256 GB,NVMe,1850 MB/s,950 MB/sec,16 090 
123,Goodram PX500 M.2 2280 NVMe Gen3x4 512GB belső SSD meghajtó,846509,GOODRAM,3 éves,512 GB,M.2 PCIe,,1600 MB/sec,23 990 
124,Maxell PCIe Gen3X4 E13T 512GB belső SSD meghajtó,846541,MAXELL,1 éves,512 GB,PCIe 3.0,,,25 990 
125,"Kioxia LTC10 2.5"" SATA3 480GB belső SSD meghajtó",846545,KIOXIA,3 éves,480 GB,SATA III,550 MB/sec,540 MB/sec,22 990 
126,"A-Data Premier SU650 Series 120GB 2,5"" SATA3 ",598855,Adata,3 éves,120 GB,SATA III,520 MB/sec,450 MB/sec,8 790 
127,Kingmax SMV32 480GB SATA SSD (KM480GSMV32),636633,KINGMAX,5 éves,480 GB,SATA III,500 MB/sec,480 MB/sec,21 990 
128,Apacer AST280-1 M.2 SATAIII 240GB SSD meghajtó,845412,APACER,3 éves,240 GB,M.2 SATA,520 MB/sec,495 MB/s,13 900 
129,Adata SX6000 Lite M.2 2280 NVMe Gen3x4 512GB belső SSD meghajtó,846475,Adata,5 éves,512 GB,M.2 PCIe,1800 MB/sec,1200 MB/sec,24 990 
130,Gigabyte Aorus Raid PCI-Ex8x 2TB belső SSD meghajtó,846484,GIGABYTE,3 éves,2 TB,M.2 PCIe,6300 MB/s,6000 MB/s,137 990 
131,"Goodram IRDM Gen.2 2.5"" SATA3 120GB belső SSD meghajtó",846486,GOODRAM,3 éves,120 GB,SATA III,540 MB/sec,520 MB/sec,11 190 
132,Goodram HL100 2TB külső SSD meghajtó + Type USB-C kábel,846501,GOODRAM,3 éves,,USB 3.0,450 MB/sec,420 MB/s,94 990 
133,Goodram HL100 512GB külső SSD meghajtó + Type USB-C kábel,846502,GOODRAM,3 éves,512 GB,USB 3.0,450 MB/sec,420 MB/s,30 990 
134,Goodram PX500 M.2 2280 NVMe Gen3x4 1TB belső SSD meghajtó,846507,GOODRAM,3 éves,1 000 GB,NVMe,,,44 990 
135,"Philips 2,5"" SATA III SSD 240 GB Ultra Speed belső SSD meghajtó",854318,PHILIPS,1 éves,240 GB,SATA III,530 MB/sec,400 MB/sec,15 290 
136,"Seagate STJP500400 FireCuda gamer külső SSD, 500GB, fekete",860924,SEAGATE,nincs,500 GB,USB 3.2,2000 MB/s,,62 990 
137,"SSD Verbatim 256GB ""Secure Portable"" fekete ",620234,VERBATIM,2 éves,256 GB,USB 3.1,,,49 990 
138,"Kingston 2.5"" SATA3 1024GB KC600 SSD ",739851,KINGSTON,3 éves,1 TB,SATA III,550 MB/sec,520 MB/sec,53 990 
139,Adata SSD M.2 2280 NVMe Gen3x4 1TB SX8200,739904,Adata,5 éves,1 024 GB,M.2 PCIe,3500 MB/sec,3000 MB/sec,52 990 
140,"Seagate Ironwolf 2.5"" 960GB SSD meghajtó",845367,SEAGATE,2 éves,960 GB,SATA III,560 MB/sec,535 MB/sec,109 990 
141,Adata SX7000 128GB M.2 SATA III SSD meghajtó,845429,Adata,3 éves,128 GB,M.2 SATA,660 MB/sec,450 MB/sec,21 900 
142,Adata SX8200 M.2 2280 NVMe Gen3x4 2TB belső SSD meghajtó,846474,Adata,5 éves,2 TB,NVMe,3500 MB/sec,3000 MB/sec,94 990 
143,"Apacer AS340 2.5"" SATA3 960GB belső SSD meghajtó",846476,APACER,3 éves,960 GB,SATA III,550 MB/sec,510 MB/sec,35 990 
144,"Goodram CL100 Gen.3 2.5"" SATA3 120GB belső SSD meghajtó",846485,GOODRAM,3 éves,120 GB,SATA III,500 MB/sec,,9 190 
145,"Goodram IRDM Pro Gen.2 2.5"" SATA3 1TB belső SSD meghajtó",846489,GOODRAM,5 éves,1 000 GB,SATA III,555 MB/sec,535 MB/sec,52 990 
146,"Goodram IRDM Pro Gen.2 2.5"" SATA3 2TB belső SSD meghajtó",846494,GOODRAM,5 éves,2 000 GB,SATA III,555 MB/sec,535 MB/sec,98 990 
147,"Goodram CL100 Gen.3 2.5"" SATA3 480GB belső SSD meghajtó",846495,GOODRAM,3 éves,480 GB,SATA III,540 MB/sec,460 MB/sec,21 990 
148,Goodram HL100 1TB külső SSD meghajtó + Type USB-C kábel,846499,GOODRAM,3 éves,1 TB,USB 3.2,,,51 990 
149,Goodram M.2 2280 NVMe Gen 3x4 256GB belső SSD meghajtó,846504,GOODRAM,5 éves,256 GB,M.2 PCIe,3000 MB/sec,1000 MB/sec,14 990 
150,Goodram M.2 2280 NVMe Gen 3x4 2TB belső SSD meghajtó,846505,GOODRAM,5 éves,2 000 GB,NVMe,3200 MB/sec,3000 MB/sec,87 990 
151,Goodram S400U M.2 SATA 2280 240GB belső SSD meghajtó,846513,GOODRAM,3 éves,240 GB,M.2 SATA,550 MB/sec,530 MB/sec,13 090 
